Date,Day,Month,MonthShort,MonthNO,Quarter,Year
2019-05-08,Wednesday,May,May,5,2,2019
2019-05-09,Thursday,May,May,5,2,2019
2019-05-10,Friday,May,May,5,2,2019
2019-05-11,Saturday,May,May,5,2,2019
2019-05-12,Sunday,May,May,5,2,2019
2019-05-13,Monday,May,May,5,2,2019
2019-05-14,Tuesday,May,May,5,2,2019
2019-05-15,Wednesday,May,May,5,2,2019
2019-05-16,Thursday,May,May,5,2,2019
2019-05-17,Friday,May,May,5,2,2019
2019-05-18,Saturday,May,May,5,2,2019
2019-05-19,Sunday,May,May,5,2,2019
2019-05-20,Monday,May,May,5,2,2019
2019-05-21,Tuesday,May,May,5,2,2019
2019-05-22,Wednesday,May,May,5,2,2019
2019-05-23,Thursday,May,May,5,2,2019
2019-05-24,Friday,May,May,5,2,2019
2019-05-25,Saturday,May,May,5,2,2019
2019-05-26,Sunday,May,May,5,2,2019
2019-05-27,Monday,May,May,5,2,2019
2019-05-28,Tuesday,May,May,5,2,2019
2019-05-29,Wednesday,May,May,5,2,2019
2019-05-30,Thursday,May,May,5,2,2019
2019-05-31,Friday,May,May,5,2,2019
2019-06-01,Saturday,June,Jun,6,2,2019
2019-06-02,Sunday,June,Jun,6,2,2019
2019-06-03,Monday,June,Jun,6,2,2019
2019-06-04,Tuesday,June,Jun,6,2,2019
2019-06-05,Wednesday,June,Jun,6,2,2019
2019-06-06,Thursday,June,Jun,6,2,2019
2019-06-07,Friday,June,Jun,6,2,2019
2019-06-08,Saturday,June,Jun,6,2,2019
2019-06-09,Sunday,June,Jun,6,2,2019
2019-06-10,Monday,June,Jun,6,2,2019
2019-06-11,Tuesday,June,Jun,6,2,2019
2019-06-12,Wednesday,June,Jun,6,2,2019
2019-06-13,Thursday,June,Jun,6,2,2019
2019-06-14,Friday,June,Jun,6,2,2019
2019-06-15,Saturday,June,Jun,6,2,2019
2019-06-16,Sunday,June,Jun,6,2,2019
2019-06-17,Monday,June,Jun,6,2,2019
2019-06-18,Tuesday,June,Jun,6,2,2019
2019-06-19,Wednesday,June,Jun,6,2,2019
2019-06-20,Thursday,June,Jun,6,2,2019
2019-06-21,Friday,June,Jun,6,2,2019
2019-06-22,Saturday,June,Jun,6,2,2019
2019-06-23,Sunday,June,Jun,6,2,2019
2019-06-24,Monday,June,Jun,6,2,2019
2019-06-25,Tuesday,June,Jun,6,2,2019
2019-06-26,Wednesday,June,Jun,6,2,2019
2019-06-27,Thursday,June,Jun,6,2,2019
2019-06-28,Friday,June,Jun,6,2,2019
2019-06-29,Saturday,June,Jun,6,2,2019
2019-06-30,Sunday,June,Jun,6,2,2019
2019-07-01,Monday,July,Jul,7,3,2019
2019-07-02,Tuesday,July,Jul,7,3,2019
